subject,item,cond,sentence,rating,age,sex,L1,bilingual,impairment,education
plausibility_1,62,distr_inan,Der Verlust trank.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,61,distr_anim,Der Drogenhändler tauchte ab.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,61,intro,Der Staatsanwalt tauchte ab.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,61,subject,Der Schmuggler tauchte ab.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,61,distr_inan,Das Verbrechen tauchte ab.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,48,subject,Der Präsident kandidierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,48,distr_anim,Der Diplomat kandidierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,48,intro,Der Oppositionsführer kandidierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,48,distr_inan,Das Gespräch kandidierte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,96,intro,Der Ersthelfer verstarb.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,96,distr_inan,Die Kreuzung verstarb.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,96,subject,Die Schwerverletzte verstarb.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,96,distr_anim,Der Autofahrer verstarb.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,120,intro,Das Opfer ermittelte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,120,subject,Die Kommissarin ermittelte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,120,distr_inan,Der Hinweis ermittelte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,120,distr_anim,Der Anrufer ermittelte.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,63,intro,Der Barkeeper feierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,63,subject,Der Gast feierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,63,distr_anim,Der Musiker feierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,63,distr_inan,Das Lied feierte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,8,distr_anim,Der Kunde hetzte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,8,subject,Der Bäcker hetzte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,8,intro,Die Aushilfe hetzte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,8,distr_inan,Die Bestellung hetzte.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,87,intro,Der Teamleiter kündigte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,87,subject,Der Kurier kündigte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,87,distr_inan,Die Übergabe kündigte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,87,distr_anim,Der Auftraggeber kündigte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,116,distr_inan,Der Blitzer zuckte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,116,subject,Der Taxifahrer zuckte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,116,intro,Der Tourist zuckte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,116,distr_anim,Der Polizist zuckte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,25,distr_inan,Das Schiffswrack brach auf.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,25,distr_anim,Der Fischer brach auf.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,25,subject,Die Taucherin brach auf.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,25,intro,Die Küstenwache brach auf.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,23,distr_inan,Das Heilverfahren fiel aus.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,23,distr_anim,Der Sponsor fiel aus.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,23,intro,Der Teamarzt fiel aus.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,23,subject,Der Radprofi fiel aus.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,49,distr_inan,Das Gefängnis regierte.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,49,distr_anim,Der Funktionär regierte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,49,intro,Der Außenminister regierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,49,subject,Der Diktator regierte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,83,distr_inan,Das Gefängnis sagte aus.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,83,distr_anim,Der Strafverteidiger sagte aus.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,83,subject,Der Einbrecher sagte aus.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,83,intro,Der Gerichtsdiener sagte aus.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,92,distr_inan,Der Plan unterrichtete.,2,27,weiblich,deutsch,nein,nein,master
